test_size,random_state,data_size,scaling,filename,test_score,train_score,tn,fp,fn,tp,f1_score,precision,recall,class_weight
0.05,0,"(65188, 4)",no_scaling,clinvar_conflicting.csv,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 44)",no_scaling,data_cleaned1.csv,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 4)",min_max,clinvar_conflicting.csv,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 4)",min_max,clinvar_conflicting.csv,0.39539877300613496,0.3934569177108901,512,1910,61,777,0.44085106382978717,0.2891700781540752,0.9272076372315036,balanced
0.05,0,"(65188, 44)",min_max,data_cleaned1.csv,0.49846625766871167,0.5057809068595789,1025,1397,238,600,0.42328042328042326,0.30045067601402103,0.7159904534606205,balanced
0.05,0,"(65188, 47)",no_scaling,data_cleaned3.csv,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 47)",no_scaling,data_cleaned3.csv,0.5444785276073619,0.5320210567110193,1344,1078,407,431,0.3672773753728163,0.28561961563949634,0.5143198090692124,balanced
0.05,0,"(65188, 47)",min_max,data_cleaned3.csv,0.5202453987730061,0.525529647332386,1103,1319,245,593,0.43127272727272725,0.3101464435146444,0.7076372315035799,balanced
0.05,0,"(65188, 56)",min_max,data_cleanednlp2.csv,0.5159509202453988,0.52289755845498,1094,1328,250,588,0.42701525054466233,0.3068893528183716,0.7016706443914081,balanced
0.05,0,"(65188, 56)",no_scaling,data_cleanednlp2.csv,0.6524539877300614,0.6480105929466478,1906,516,617,221,0.2806349206349207,0.29986431478968795,0.2637231503579952,balanced
0.05,0,"(65188, 56)",no_scaling,data_cleanednlp2.csv,0.7420245398773007,0.7472710244154502,2419,3,838,0,0.0,0.0,0.0,
